Batch Size,L1 Nodes,L1 Regularization,L1 Dropout,L2 Nodes,L2 Regularization,L2 Dropout,Learning Rate,Accuracy
2.0,152.0,0.0,0.47,213.0,0.0001,0.42,0.0006000000000000001,0.40634921193122864
200.0,141.0,0.30000000000000004,0.17,97.0,0.01,0.44,0.005,0.4134920537471771
3.0,136.0,8e-05,0.06,77.0,0.9,0.01,0.30000000000000004,0.4134920537471771
5.0,151.0,0.0,0.29,86.0,0.0007,0.03,0.01,0.4539682567119598
300.0,200.0,8e-05,0.15,153.0,0.8,0.35,0.002,0.5015873312950134
5.0,134.0,0.0,0.24,19.0,4e-05,0.32,8e-06,0.4666666686534882
900.0,252.0,0.006,0.15,49.0,0.002,0.02,0.003,0.4666666686534882
80.0,184.0,5e-05,0.67,68.0,0.5,0.75,0.009000000000000001,0.4285714328289032
70.0,122.0,0.0,0.69,96.0,0.4,0.07,0.003,0.4777777791023254
50.0,92.0,0.30000000000000004,0.37,10.0,0.01,0.19,4e-06,0.4579364955425263
700.0,165.0,0.4,0.18,82.0,0.0008,0.08,3.000000000000001e-05,0.4579364955425263
100.0,225.0,0.0,0.25,164.0,0.01,0.16,0.05,0.4634920656681061
800.0,160.0,0.001,0.3,113.0,0.001,0.63,0.003,0.4730158746242523
2.0,82.0,0.009000000000000001,0.75,190.0,0.4,0.68,8e-05,0.4166666567325592
4.0,124.0,0.1,0.26,74.0,3.000000000000001e-05,0.46,1e-06,0.5142857432365417
100.0,216.0,6.000000000000002e-05,0.29,149.0,0.006,0.12,0.05,0.4666666686534882
90.0,86.0,0.08,0.28,50.0,0.7000000000000001,0.38,5e-06,0.4626984000205994
800.0,138.0,0.4,0.67,199.0,0.009000000000000001,0.66,0.6000000000000001,0.4134920537471771
200.0,203.0,0.7000000000000001,0.76,61.0,0.09,0.56,0.01,0.4126984179019928
20.0,122.0,0.4,0.77,273.0,0.0001,0.77,0.06,0.4126984179019928
90.0,109.0,7.000000000000001e-05,0.59,36.0,0.9,0.25,0.009000000000000001,0.43809524178504944
2.0,75.0,0.004,0.65,31.0,0.02,0.45,0.05,0.40714284777641296
800.0,186.0,5e-05,0.36,283.0,8e-05,0.29,2e-06,0.3174603283405304
100.0,169.0,0.00030000000000000003,0.45,139.0,0.6000000000000001,0.62,0.0008,0.5142857432365417
600.0,92.0,0.0,0.42,203.0,0.006999999999999999,0.26,0.0007,0.4666666686534882
200.0,286.0,0.0,0.53,41.0,1e-05,0.53,3e-06,0.3928571343421936
10.0,189.0,0.0,0.42,86.0,0.0005,0.41,0.009000000000000001,0.4730158746242523
